Ticker,Date,Open,High,Low,Close,Adj Close,Volume
GOOG,2023-03-02, 89.86 , 92.48 , 89.77 , 92.31 , 92.31 ," 23,328,600.00 "
GOOG,2023-03-03, 92.74 , 94.11 , 92.66 , 94.02 , 94.02 ," 30,242,500.00 "
GOOG,2023-03-06, 94.36 , 96.30 , 94.30 , 95.58 , 95.58 ," 28,288,200.00 "
GOOG,2023-03-07, 95.42 , 96.09 , 93.84 , 94.17 , 94.17 ," 24,101,500.00 "
GOOG,2023-03-08, 94.40 , 96.24 , 94.40 , 94.65 , 94.65 ," 25,395,200.00 "
GOOG,2023-03-09, 94.49 , 95.92 , 92.36 , 92.66 , 92.66 ," 24,438,900.00 "
GOOG,2023-03-10, 92.50 , 93.18 , 90.80 , 91.01 , 91.01 ," 32,850,100.00 "
GOOG,2023-03-13, 90.57 , 93.08 , 89.94 , 91.66 , 91.66 ," 31,508,600.00 "
GOOG,2023-03-14, 93.07 , 94.83 , 92.78 , 94.25 , 94.25 ," 32,303,900.00 "
GOOG,2023-03-15, 93.54 , 97.25 , 93.04 , 96.55 , 96.55 ," 38,367,300.00 "
GOOG,2023-03-16, 96.57 , 101.97 , 95.87 , 101.07 , 101.07 ," 54,499,500.00 "
GOOG,2023-03-17, 100.84 , 103.49 , 100.75 , 102.46 , 102.46 ," 76,140,300.00 "
GOOG,2023-03-20, 101.06 , 102.58 , 100.79 , 101.93 , 101.93 ," 26,033,900.00 "
GOOG,2023-03-21, 101.98 , 105.96 , 101.86 , 105.84 , 105.84 ," 33,122,800.00 "
GOOG,2023-03-22, 105.14 , 107.51 , 104.21 , 104.22 , 104.22 ," 32,336,900.00 "
GOOG,2023-03-23, 105.89 , 107.10 , 105.41 , 106.26 , 106.26 ," 31,385,800.00 "
GOOG,2023-03-24, 105.74 , 106.16 , 104.74 , 106.06 , 106.06 ," 25,245,000.00 "
GOOG,2023-03-27, 105.32 , 105.40 , 102.63 , 103.06 , 103.06 ," 25,393,400.00 "
GOOG,2023-03-28, 103.00 , 103.00 , 100.28 , 101.36 , 101.36 ," 24,913,500.00 "
GOOG,2023-03-29, 102.72 , 102.82 , 101.03 , 101.90 , 101.90 ," 26,148,300.00 "
GOOG,2023-03-30, 101.44 , 101.61 , 100.29 , 101.32 , 101.32 ," 25,009,800.00 "
GOOG,2023-03-31, 101.71 , 104.19 , 101.44 , 104.00 , 104.00 ," 28,086,500.00 "
GOOG,2023-04-03, 102.67 , 104.95 , 102.38 , 104.91 , 104.91 ," 20,719,900.00 "
GOOG,2023-04-04, 104.84 , 106.10 , 104.60 , 105.12 , 105.12 ," 20,377,200.00 "
